iter	Logloss
0	0.6278285647
1	0.5810786398
2	0.5500553117
3	0.5245598517
4	0.5041154418
5	0.4895128818
6	0.4774656187
7	0.4693033192
8	0.4627599446
9	0.4573176942
10	0.4535522506
11	0.4511362974
12	0.4478523359
13	0.4450971568
14	0.4430469242
15	0.4413289178
16	0.4402642047
17	0.4384003256
18	0.4372347042
19	0.4361769704
20	0.4346670818
21	0.4338036536
22	0.4331255457
23	0.432210959
24	0.4314623297
25	0.430906535
26	0.430426001
27	0.4299125659
28	0.42944519
29	0.4288418877
30	0.4281951449
31	0.427749243
32	0.4274526236
33	0.4271282265
34	0.4266268629
35	0.4262165103
36	0.4258844782
37	0.4255436496
38	0.4253357611
39	0.4250838046
40	0.4248790657
41	0.424627079
42	0.4244012564
43	0.4241304655
44	0.4236690607
45	0.4233999514
46	0.4231947101
47	0.423108938
48	0.4226023758
49	0.4222677232
50	0.4221889187
51	0.4220899162
52	0.4219658097
53	0.4218134438
54	0.4217072517
55	0.4215626423
56	0.4214360197
57	0.4213283414
58	0.4212049772
59	0.421053168
60	0.4209406071
61	0.4207884861
62	0.4204907327
63	0.4204101941
64	0.420040289
65	0.4199669309
66	0.4198400961
67	0.4197136443
68	0.4195715915
69	0.4195133649
70	0.4193497697
71	0.4192804268
72	0.4191723499
73	0.4190668617
74	0.4189360473
75	0.4188927238
76	0.4188384507
77	0.4185597568
78	0.4183767129
79	0.4183291977
80	0.4182034769
81	0.4181336832
82	0.4179813496
83	0.4178754022
84	0.4176946818
85	0.4175011886
86	0.4172730317
87	0.4170649899
88	0.4170064603
89	0.416942172
90	0.4168078391
91	0.416695657
92	0.416575701
93	0.4164447683
94	0.4163536262
95	0.4162181165
96	0.4161584726
97	0.4160188028
98	0.4158494037
99	0.4156467092
100	0.4154893528
101	0.415379202
102	0.4152579457
103	0.415075069
104	0.4149235433
105	0.4148646383
106	0.4147347273
107	0.4145841118
108	0.4145009449
109	0.4144008069
110	0.4142930011
111	0.4141982376
112	0.4141413643
113	0.4140686936
114	0.4139964341
115	0.4137752537
116	0.4136767491
117	0.413509173
118	0.4132711012
119	0.4131762783
120	0.413083611
121	0.412881005
122	0.412793119
123	0.4127433627
124	0.4126000245
125	0.4124751713
126	0.4124197047
127	0.412275275
128	0.412166689
129	0.4120132384
130	0.41190833
131	0.4118305218
132	0.4117763406
133	0.4115635974
134	0.4114475383
135	0.4112546882
136	0.4111068485
137	0.4109789168
138	0.4108743226
139	0.4107235577
140	0.4106712069
141	0.4105578675
142	0.4104887191
143	0.4103643184
144	0.4103082012
145	0.4102008091
146	0.4101043275
147	0.4100670792
148	0.4099892343
149	0.4098792595
150	0.4098092011
151	0.4097085434
152	0.4095757394
153	0.4094914123
154	0.409448224
155	0.4093719154
156	0.4093234264
157	0.4092417759
158	0.4091640527
159	0.4090742284
160	0.4089060884
161	0.4088616515
162	0.4088356522
163	0.4087703449
164	0.4087361153
165	0.40860555
166	0.4085384489
167	0.4084072325
168	0.4083064898
169	0.4082588001
170	0.4082127285
171	0.4079767879
172	0.4078615479
173	0.4077030807
174	0.4076252527
175	0.4075322607
176	0.407452032
177	0.4073436322
178	0.407200777
179	0.4071248826
180	0.4070531256
181	0.40697566
182	0.4069119235
183	0.4068684365
184	0.4067740487
185	0.4066937213
186	0.4066151456
187	0.4065451982
188	0.4064689727
189	0.4064166029
190	0.4063467724
191	0.4062941595
192	0.4062257194
193	0.4061870883
194	0.405971968
195	0.405906253
196	0.4058003092
197	0.4057017553
198	0.4056441141
199	0.4055524304
200	0.405500248
201	0.4054118266
202	0.4053488407
203	0.4052968212
204	0.4051975133
205	0.405147116
206	0.4050811775
207	0.4050018873
208	0.4049888888
209	0.4048994914
210	0.4048745692
211	0.4048161295
212	0.4047563676
213	0.4046931619
214	0.4045762906
215	0.4045329989
216	0.4045018258
217	0.4044252583
218	0.4043581769
219	0.4042756062
220	0.4042375808
221	0.404168089
222	0.4041170656
223	0.404013516
224	0.4039809935
225	0.4039116061
226	0.4038513131
227	0.4037983346
228	0.4037400592
229	0.4036827348
230	0.4036157203
231	0.4035616638
232	0.4035089183
233	0.4034781085
234	0.4033797285
235	0.4033366279
236	0.4033037408
237	0.4032579716
238	0.4031894784
239	0.4031362844
240	0.4030532021
241	0.4029609907
242	0.4029086432
243	0.4028394388
244	0.4027937413
245	0.4027479663
246	0.402717691
247	0.4026871193
248	0.4026554082
249	0.4025947995
250	0.4025226602
251	0.4024821522
252	0.4024197943
253	0.4023515081
254	0.4022103176
255	0.4021776486
256	0.4021005521
257	0.4020300657
258	0.4019550126
259	0.4018757997
260	0.401810721
261	0.4017021854
262	0.4016199581
263	0.4015213967
264	0.4014233537
265	0.4013630214
266	0.4013208984
267	0.4012397136
268	0.4011928084
269	0.4011093259
270	0.4010629838
271	0.4009895774
272	0.4008994626
273	0.400829642
274	0.4007780016
275	0.4007085806
276	0.4006673586
277	0.4006170598
278	0.4005465489
279	0.4004927937
280	0.4004221821
281	0.4003449608
282	0.4002205782
283	0.4000119273
284	0.3999239224
285	0.3998627753
286	0.3998454958
287	0.3998075498
288	0.3997703603
289	0.3996694455
290	0.3995542687
291	0.3994779332
292	0.3994165382
293	0.3993605523
294	0.3993231683
295	0.3992504099
296	0.3992051329
297	0.3991491844
298	0.3990390433
299	0.3989651002
300	0.3987930982
301	0.3987237315
302	0.3986527084
303	0.3985936565
304	0.3985046838
305	0.3984403965
306	0.3983915164
307	0.3983416257
308	0.3982428663
309	0.3981456384
310	0.3980766147
311	0.3980507425
312	0.397954239
313	0.3979215522
314	0.39784369
315	0.397790465
316	0.3976684708
317	0.3976304368
318	0.3975694736
319	0.3974791354
320	0.3974245521
321	0.3973044191
322	0.3972643106
323	0.3972163758
324	0.3971675365
325	0.3971046654
326	0.3970605511
327	0.3970353454
328	0.3969666484
329	0.3968929802
330	0.3968641421
331	0.3967596399
332	0.3966943061
333	0.3966736032
334	0.3966271945
335	0.3965980256
336	0.3965483107
337	0.3964539642
338	0.3964392789
339	0.3963470377
340	0.3962932966
341	0.3962090212
342	0.3961468633
343	0.3961325142
344	0.3960646007
345	0.3960228216
346	0.3959721786
347	0.3959097549
348	0.3958741332
349	0.3957171008
350	0.3956193613
351	0.3955533897
352	0.3955014736
353	0.3954531557
354	0.395389192
355	0.395322245
356	0.3952632649
357	0.3952237782
358	0.3951652238
359	0.3951345758
360	0.3950943696
361	0.3950482689
362	0.3950114744
363	0.3949711347
364	0.3948951262
365	0.3948363745
366	0.3947817901
367	0.3947375493
368	0.3946801521
369	0.3946355026
370	0.3945630992
371	0.3944911052
372	0.3944730203
373	0.3944413543
374	0.3943949497
375	0.3943298341
376	0.3942801806
377	0.3942602506
378	0.394190746
379	0.3941358505
380	0.3940850122
381	0.394012958
382	0.3939783521
383	0.3939595624
384	0.3938699656
385	0.3938051481
386	0.3937429986
387	0.3936827549
388	0.3936186927
389	0.3935828607
390	0.3934974932
391	0.393450489
392	0.3934302991
393	0.3934057726
394	0.3933751026
395	0.3933136445
396	0.3932787179
397	0.3931133178
398	0.3930451338
399	0.3929916275
400	0.3929737894
401	0.3929252095
402	0.3928049066
403	0.392714537
404	0.3926602607
405	0.3925838822
406	0.3925343082
407	0.3924298675
408	0.3923794437
409	0.3922917708
410	0.3922315638
411	0.3921878214
412	0.3921609443
413	0.3921072916
414	0.3920680435
415	0.3920070966
416	0.3919492979
417	0.391893352
418	0.3918400612
419	0.3917962759
420	0.3917417343
421	0.3917032662
422	0.3916432865
423	0.3915969273
424	0.3915672638
425	0.3914860449
426	0.3914246603
427	0.3913823611
428	0.3913362757
429	0.3912961127
430	0.3912377982
431	0.3911775182
432	0.3911245935
433	0.3910610376
434	0.3909949776
435	0.3909333652
436	0.3908984096
437	0.3908253978
438	0.3907684985
439	0.3907385392
440	0.3906766607
441	0.3905859121
442	0.3905398215
443	0.3905043051
444	0.3904472738
445	0.390411065
446	0.390348129
447	0.3902530525
448	0.3902168733
449	0.3901549061
450	0.3901182081
451	0.3900512739
452	0.3900097544
453	0.3899771537
454	0.3899273622
455	0.3898762725
456	0.3898117463
457	0.3897760433
458	0.3897065707
459	0.3896773417
460	0.3896244228
461	0.3895636444
462	0.389502458
463	0.3894518179
464	0.3894121477
465	0.3893596025
466	0.3892995862
467	0.38924558
468	0.3891913125
469	0.3891558524
470	0.3891172733
471	0.3890601924
472	0.3890101881
473	0.3889817648
474	0.3889455508
475	0.388890389
476	0.3888514391
477	0.3888159507
478	0.3887426214
479	0.3886887147
480	0.388638351
481	0.3885546434
482	0.3885017886
483	0.3884469324
484	0.3883881846
485	0.3883265294
486	0.3883016262
487	0.3882798844
488	0.3882132766
489	0.388172577
490	0.3881301397
491	0.3880732589
492	0.3880335772
493	0.3879986495
494	0.3879684947
495	0.3879071096
496	0.3878441839
497	0.3878210095
498	0.3877657353
499	0.3876996795
500	0.3876520018
501	0.3876049561
502	0.3875499577
503	0.3875138761
504	0.3874565704
505	0.3873753659
506	0.3873559367
507	0.3873056149
508	0.3872498602
509	0.3871961868
510	0.3871489472
511	0.3871007438
512	0.3870672228
513	0.3870378052
514	0.3870165517
515	0.3869791998
516	0.3869344819
517	0.3868476253
518	0.3868154227
519	0.3867785194
520	0.3867293541
521	0.3866929971
522	0.3866304439
523	0.3865935799
524	0.3865517691
525	0.3864992314
526	0.3864481081
527	0.3864013106
528	0.3863307706
529	0.3863011215
530	0.386243248
531	0.3862034189
532	0.3861481208
533	0.3860942257
534	0.3859518144
535	0.3858968989
536	0.3858524649
537	0.385803052
538	0.3857815205
539	0.3857569861
540	0.3856114686
541	0.3855799095
542	0.3855060887
543	0.385429629
544	0.3853697288
545	0.3851974243
546	0.3851652849
547	0.3850966573
548	0.3850439492
549	0.3850219606
550	0.384977703
551	0.3849338984
552	0.3848846431
553	0.3848270072
554	0.3848137886
555	0.384781664
556	0.3847327791
557	0.3846908797
558	0.3846201017
559	0.3845947911
560	0.3845388234
561	0.3844985646
562	0.3844332206
563	0.384363367
564	0.3843183651
