iter	Passed	Remaining
0	1104	1103129
1	1554	775755
2	1702	565839
3	2144	534054
4	2502	498039
5	2870	475598
6	3327	472075
7	3711	460200
8	4119	453587
9	4519	447430
10	4909	441389
11	5142	423418
12	5597	424959
13	6104	429948
14	6622	434900
15	7156	440128
16	7556	436963
17	8124	443221
18	8557	441822
19	8999	440969
20	9530	444321
21	9948	442248
22	10270	436253
23	10621	431957
24	11035	430384
25	11449	428930
26	11897	428763
27	12295	426819
28	12643	423334
29	13065	422442
30	13460	420752
31	13915	420930
32	14203	416195
33	14615	415238
34	15061	415276
35	15468	414204
36	15893	413652
37	16301	412697
38	16791	413767
39	17236	413676
40	17620	412157
41	18040	411485
42	18558	413043
43	19020	413272
44	19470	413202
45	19929	413314
46	20406	413775
47	20859	413718
48	21299	413381
49	21649	411337
50	22066	410612
51	22497	410153
52	22898	409154
53	23257	407440
54	23674	406764
55	24132	406811
56	24563	406368
57	24931	404917
58	25338	404129
59	25696	402579
60	26106	401871
61	26536	401472
62	26946	400779
63	27371	400303
64	27805	399975
65	28290	400349
66	28696	399613
67	29131	399273
68	29611	399543
69	29998	398556
70	30445	398367
71	31017	399776
72	31491	399899
73	31813	398101
74	32207	397226
75	32605	396412
76	33035	395995
77	33454	395450
78	33839	394504
79	34251	393896
80	34721	393937
81	35101	392970
82	35520	392441
83	35891	391383
84	36299	390756
85	36762	390713
86	37225	390656
87	37662	390322
88	38006	389029
89	38359	387856
90	38793	387509
91	39242	387307
92	39715	387328
93	40103	386532
94	40623	386988
95	41043	386496
96	41454	385915
97	41814	384865
98	42238	384413
99	42668	384018
100	43146	384043
101	43580	383683
102	43807	381511
103	44242	381164
104	44708	381089
105	45151	380809
106	45722	381586
107	46147	381140
108	46539	380431
109	46936	379756
110	47390	379551
111	47767	378729
112	48167	378097
113	48567	377464
114	48922	376488
115	49347	376064
116	49750	375467
117	50164	374957
118	50627	374811
119	51005	374041
120	51463	373852
121	51920	373660
122	52366	373376
123	52862	373448
124	53352	373468
125	53790	373119
126	54164	372327
127	54594	371926
128	55040	371630
129	55458	371146
130	55871	370631
131	56334	370443
132	56785	370170
133	57237	369908
134	57591	369009
135	58034	368690
136	58413	367961
137	58776	367139
138	59100	366080
139	59491	365448
140	59875	364774
141	60323	364491
142	60642	363429
143	61077	363070
144	61482	362533
145	61991	362607
146	62502	362684
147	62948	362376
148	63791	364339
149	64326	364516
150	64776	364207
151	65314	364387
152	65822	364392
153	66240	363895
154	66749	363891
155	67200	363573
156	67675	363379
157	68152	363192
158	68762	363705
159	69373	364209
160	70022	364898
161	70436	364354
162	70942	364285
163	71397	363950
164	72145	365100
165	72864	366080
166	73383	366036
167	74002	366490
168	74526	366460
169	74940	365883
170	75373	365409
171	75897	365369
172	76478	365592
173	77078	365903
174	77596	365809
175	78198	366109
176	78754	366186
177	79250	365977
178	79814	366075
179	80377	366165
180	80905	366085
181	81506	366332
182	81960	365911
183	82539	366046
184	83160	366353
185	83715	366369
186	84287	366447
187	84803	366278
188	85408	366488
189	86063	366901
190	86495	366359
191	87034	366270
192	87640	366456
193	88157	366261
194	88709	366211
195	89177	365808
196	89619	365303
197	90043	364721
198	90505	364294
199	90979	363919
200	91491	363689
201	92021	363528
202	92453	362981
203	92881	362420
204	93347	362004
205	93809	361577
206	94237	361017
207	94726	360688
208	95126	360024
209	95542	359422
210	95747	358030
211	96206	357598
212	96655	357127
213	97218	357073
214	97774	356989
215	98210	356468
216	98622	355859
217	99070	355382
218	99493	354813
219	99897	354180
220	100235	353318
221	100677	352824
222	101185	352560
223	101636	352097
224	102019	351400
225	102483	350983
226	102872	350310
227	103205	349449
228	103641	348942
229	104033	348285
230	104416	347602
231	104880	347190
232	105353	346807
233	105824	346416
234	106196	345702
235	106625	345178
